fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
17524,Business Hotel ,Tunis,03/06/2026,Houssem,Controle,Zephyr,Reception,Bris. d,0,0
17524,Business Hotel ,Tunis,03/06/2026,Houssem,Recharge,Zephyr,Reception,Bris. d,0,300
17527,Lefties,Soukra,03/06/2026,Houssem,Controle,Zee300,Entree F,Lim,300,0
17527,Lefties,Soukra,03/06/2026,Houssem,Controle,Zee300,Entree H,Lim,275,0
17527,Lefties,Soukra,03/06/2026,Houssem,Recharge,Zee300,Entree F,Lim,0,300
17527,Lefties,Soukra,03/06/2026,Houssem,Recharge,Zee300,Entree H,Lim,0,300
17531,Mascotte ,Jardins Carthage,04/06/2026,Houssem,Controle,Zee300,RDC,T.H,80,0
17531,Mascotte ,Jardins Carthage,04/06/2026,Houssem,Controle,Aromair150,+1,Peace,175,0
17531,Mascotte ,Jardins Carthage,04/06/2026,Houssem,Recharge,Zee300,RDC,T.H,0,220
17531,Mascotte ,Jardins Carthage,04/06/2026,Houssem,Recharge,Aromair150,+1,Peace,0,125
17526,AF Collection ,Soukra,03/06/2026,Houssem,Recharge,Astree,+1,R.G,0,300
17542,Clevory ,Charguia,05/06/2026,Houssem,Controle,Aromair100,entrée,F.C,0,0
17539,Tavolino,Place Pasteur,05/06/2026,Houssem,Controle,Zee300,Entree,Neroli,0,0
17539,Tavolino,Place Pasteur,05/06/2026,Houssem,Recharge,Zee300,Entree,Neroli,0,600
17538,Vision Store ,Menzah4,05/06/2026,Houssem,Controle,Aromair100,entrée,F.D,140,0
17534,Fnac,Marsa,04/06/2026,Houssem,Controle,Zee600,Entrée,illusion,0,0
17534,Fnac,Marsa,04/06/2026,Houssem,Recharge,Zee600,Entree,design,0,600
17543,Restaurant Erable,Lac2,05/06/2026,Houssem,Controle,Zee300,Entrée,Jasmin E,230,0
17543,Restaurant Erable,Lac2,05/06/2026,Houssem,Recharge,Zee300,Entrée,Jasmin,0,300
17525,Casa Store ,Soukra,03/06/2026,Houssem,Controle,Astree,Entree,R.G,80,0
17535,Darty,Marsa,04/06/2026,Houssem,Controle,Zee600,Entree,design,0,0
17535,Darty,Marsa,04/06/2026,Houssem,Recharge,Zee600,Entree,design,0,600
17528,BFI Siege1,Lac1,04/06/2026,Houssem,Controle,Aromair150,RDC,Jasmin,225,0
17528,BFI Siege1,Lac1,04/06/2026,Houssem,Controle,Aromair150,+1,Jasmin,140,0
17528,BFI Siege1,Lac1,04/06/2026,Houssem,Controle,Aromair150,+2,Jasmin,155,0
17528,BFI Siege1,Lac1,04/06/2026,Houssem,Controle,Aromair150,+3,Jasmin,130,0
17541,Origin Elle,Ennasr,05/06/2026,Houssem,Recharge,Aromair150,Entrée,FE2,0,300
17618,Paris Tunis Dress,GP9,10/06/2026,Houssem,Controle,Astree,Entree,R.D,260,0
17619,Clinique Kaynos,Lac2,10/06/2026,Houssem,Controle,Astree,1,FE3,0,0
17619,Clinique Kaynos,Lac2,10/06/2026,Houssem,Controle,Astree,RDC,FE2,62,0
17548,Villa Misk,Sidi Bou Said,06/06/2026,Houssem,Controle,Astree,Entree,Melange,120,0
17544,Cabinet Dr Mariem Ben Amor,Lac2,05/06/2026,Houssem,Recharge,Aromair150,S. Atte,F.C,0,300
17621,Tony Nasr,GP9,10/06/2026,Houssem,Controle,Aromair100,Entree,T.H,0,0
17601,Saveurs de Carthage,Jardins Carthage,08/06/2026,Houssem,Controle,Zephyr,Entree,melange,0,0
17604,Table espace,Lac1,08/06/2026,Houssem,Controle,Astree,Entree,B.the,240,0
17540,Oxford Librairie,Ennasr,05/06/2026,Houssem,Recharge,Zee300,Entree,F.N,0,300
17540,Oxford Librairie,Ennasr,05/06/2026,Houssem,Recharge,Aromair150,+1,F.N,0,300
17540,Oxford Librairie,Ennasr,05/06/2026,Houssem,Recharge,Aromair150,+2,F.N,0,300
17624,Energy Car,Menzah6,10/06/2026,Houssem,Controle,Astree,Entree,T.H,95,0
17608,Cipolin,Jardins Carthage,08/06/2026,Houssem,Recharge,Zee300,Salon,T.H,0,600
17608,Cipolin,Jardins Carthage,08/06/2026,Houssem,Recharge,Stock,Stock,T.H,0,300
17547,Maison d'hote Neyra,Sidi Bou Said,06/06/2026,Houssem,Recharge,Iceberg,Entree,Jasmin,0,300
17609,Tony Nasr,GP9,09/06/2026,Houssem,Controle,Aromair100,Entree,Rose d'or,140,0
17549,Cipolin,Jardins Carthage,08/06/2026,Houssem,Recharge,Aromair150,Entree,T.H,0,300
17603,Oriflame,Lac3,08/06/2026,Houssem,Controle,Astree,Entree,F.C,55,0
17607,Cabinet Dr Louati,Lac2,08/06/2026,Houssem,Controle,Zee300,Entree,Fologne,0,0
17607,Cabinet Dr Louati,Lac2,08/06/2026,Houssem,Recharge,Zee300,Entree,F.N,0,200
17536,Asteel Flash,Soukra,05/06/2026,Houssem,Controle,Zephyr,RDC,Ondee P.,70,0
17536,Asteel Flash,Soukra,05/06/2026,Houssem,Recharge,Zephyr,RDC,Ondee P.,0,300
17605,Renault Trucks,La Goulette,08/06/2026,Houssem,Controle,Astree,Reception,R.G,286,0
17605,Renault Trucks,La Goulette,08/06/2026,Houssem,Controle,Astree,au fond,R.G,220,0
17610,Sodeco,Aouina,09/06/2026,Houssem,Controle,Zee300,Entree,B.the,4,0
17602,Spectra,Lac3,08/06/2026,Houssem,Recharge,Astree,Entree,F.the,0,220
17602,Spectra,Lac3,08/06/2026,Houssem,Recharge,Zee300,A,R.G,0,300
17633,Hotel Carlton,Tunis,11/06/2026,Houssem,Recharge,Aromair100,S. Admin,mel,0,300
17620,Hotel Corail,Lac2,10/06/2026,Houssem,Controle,Tour,Reception,F.N,250,0
17546,Floralies,Soukra,26/06/2026,Houssem,Controle,Iceburg,RDC,B.the,125,0
17546,Floralies,Soukra,26/06/2026,Houssem,Controle,Iceburg,+1,B.the,0,0
17546,Floralies,Soukra,26/06/2026,Houssem,Recharge,Iceburg,+1,B.the,0,300
17612,Hotel Carlton,Tunis,09/06/2026,Houssem,Controle,Aromair100,Reception,mel,190,0
17612,Hotel Carlton,Tunis,09/06/2026,Houssem,Controle,Aromair100,S. Reunion,mel,0,0
17551,Pharmacie Sadri,Lac2,09/06/2026,Houssem,Controle,Zee300,Entree,R.G,150,0
17551,Pharmacie Sadri,Lac2,09/06/2026,Houssem,Recharge,Zee300,Entree,R.G,0,300
17626,Poliform,Soukra,10/06/2026,Houssem,Controle,Aromair100,Entree,mel,0,0
17613,Agence Doze,CUN,09/06/2026,Houssem,Controle,Astree,Entree,Rose d'or,185,0
17550,Hotel Dar El Marsa,Sidi Bou Said,11/06/2026,Houssem,Recharge,Zee300,Entree,null,0,500
17622,Sodeco,Aouina,10/06/2026,Houssem,Recharge,Zee300,Entree,F.the,0,300
17623,Carre Douceur,Lac1,10/06/2026,Houssem,Controle,Astree,Entree,FE2,0,0
17632,Timsoft Group,Lac1,11/06/2026,Houssem,Recharge,Aromair150,+1,B.the,0,300
17632,Timsoft Group,Lac1,11/06/2026,Houssem,Recharge,Aromair150,+2,B.the,0,300
17632,Timsoft Group,Lac1,11/06/2026,Houssem,Recharge,Aromair150,+1fond,B.the,0,300
17632,Timsoft Group,Lac1,11/06/2026,Houssem,Recharge,Aromair150,+2fond,B.the,0,300
17606,Clevory,Charguia,08/06/2021,Houssem,Recharge,Aromair100,Entree,Cash,0,300
17631,Tavolino,Lac2,11/06/2026,Houssem,Recharge,Iceberg,Entree,T.H,0,300
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Controle,Aromair100,WCH,Jasmin,0,0
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Controle,Aromair100,WCF,Jasmin,0,0
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Controle,Zee600,Entree 1,F.N,0,0
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Controle,Zee600,Entree 2,F.N,0,0
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Controle,Zee600,Entree 3,F.N,0,0
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Recharge,Aromair100,WCH,Jasmin,0,300
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Recharge,Aromair100,WCF,Jasmin,0,300
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Recharge,Zee600,Entree 1,F.N,0,500
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Recharge,Zee600,Entree 2,F.N,0,500
17614,Hygiene 716 Lac2,Lac2,09/06/2026,Houssem,Recharge,Zee600,Entree 3,F.N,0,500
17625,Cabinet Dr Haifa Chebbi,Bardo,10/06/2026,Houssem,Controle,Astree,Entree,R.G,0,0
17625,Cabinet Dr Haifa Chebbi,Bardo,10/06/2026,Houssem,Recharge,Astree,Entree,R.G,0,300
17615,Ridotti,Soukra,09/06/2026,Houssem,Controle,Astree,Entree,SI,243,0
17573,Turquoise ,CUN,18/06/2026,Houssem,Controle,Zee300,Entrée,F.D,0,0
17573,Turquoise ,CUN,18/06/2026,Houssem,Recharge,Zee300,Entrée,F.D,0,300
17561,Jazz Tour Khalaf,Sousse,13/06/2026,Houssem,Controle,Note: division diffuseur AR150 Blanc,null,null,0,0
17561,Jazz Tour Khalaf,Sousse,13/06/2026,Houssem,Recharge,Note: recuperation diffuseur AR150 Noir,null,null,0,0
17583,Hotel Laico,Tunis,20/06/2026,Houssem,Controle,Astree,S. Presidentiel,Neroli,90,0
17557,Kantaoui Bey ,Sousse,13/06/2026,Houssem,Controle,Note: livraison 4 bouteilles Ondee,null,null,0,0
17555,Arco Cerame ,Sfax,13/06/2026,Houssem,Controle,Astree,entrée,Cashmer,0,0
17555,Arco Cerame ,Sfax,13/06/2026,Houssem,Recharge,Astree,entrée,Cashmer,0,300
17569,Ambiance d'Autrefois,Soukra,15/06/2026,Houssem,Controle,Note: Récupération Diffuseur Astree,null,null,0,0
17556,Alia Megdiche ,Sfax,13/06/2026,Houssem,Controle,Aromair100,entrée,P. Jasmin,111,0
17556,Alia Megdiche ,Sfax,13/06/2026,Houssem,Recharge,Aromair100,entrée,Rose d'or,0,300
17630,Love Yourself,Lac2,11/06/2026,Houssem,Recharge,Aromair100,RDC,R.V,0,300
17630,Love Yourself,Lac2,11/06/2026,Houssem,Recharge,Aromair100,+1,R.V,0,300
17616,Hotel Concorde ,Lac1,11/06/2026,Houssem,Controle,Astree,RDC SPA,Neroli,10,0
17616,Hotel Concorde ,Lac1,11/06/2026,Houssem,Controle,Astree,+1 SPA,Neroli,30,0
17616,Hotel Concorde ,Lac1,11/06/2026,Houssem,Recharge,Astree,RDC SPA,F.J,0,300
17616,Hotel Concorde ,Lac1,11/06/2026,Houssem,Recharge,Astree,+1 SPA,F.J,0,300
17567,Casa Store ,Soukra,15/06/2026,Houssem,Controle,Astree,Entree,Melange,40,0
17567,Casa Store ,Soukra,15/06/2026,Houssem,Recharge,Astree,entree,mel,0,300
17566,Soquibat ,Lac1,16/06/2026,Houssem,Controle,Astree,Cashier,P.B,260,0
17566,Soquibat ,Lac1,16/06/2026,Houssem,Controle,Note: probleme pompe diffuseur,null,null,0,0
17560,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Controle,Aromair150,SALLE d'attente,FC,60,0
17560,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Controle,Aromair150,Cabinet,FC,45,0
17560,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Recharge,Aromair150,SALLE d'attente,FC,0,300
17560,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Recharge,Aromair150,Cabinet,FC,0,300
17562,Moustache,Menzah5,15/06/2026,Houssem,Controle,Central,comptoir,R.G,136,0
17562,Moustache,Menzah5,15/06/2026,Houssem,Recharge,Central,comptoir,R.G,0,170
17636,Moustache,Menzah5,17/06/2026,Houssem,Controle,Iceberg,entree,Mel,40,0
17636,Moustache,Menzah5,17/06/2026,Houssem,Recharge,Iceberg,entree,mel,0,300
17554,Siceram ,Sfax,13/06/2026,Houssem,Controle,Astree,entrée,Cashmer,124,0
17554,Siceram ,Sfax,13/06/2026,Houssem,Controle,Astree,au fond CPN,Cashmer,0,0
17554,Siceram ,Sfax,13/06/2026,Houssem,Recharge,Astree,entrée,Cashmer,0,300
17554,Siceram ,Sfax,13/06/2026,Houssem,Recharge,Astree,au fond,Cashmer,0,300
17637,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Controle,Zee300,entree,B.The,0,0
17637,Dr Skander Ben Gueder,Sousse,17/06/2026,Houssem,Recharge,Zee300,entree,B.the,0,500
17558,Sodeco ,GP9,13/06/2026,Houssem,Controle,Zee300,entree,FM,0,0
17558,Sodeco ,GP9,13/06/2026,Houssem,Recharge,Zee300,entree,FM,0,300
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Controle,Zee300,RDC,C. Sauvage,154,0
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Controle,Centrale,+2,T.B,0,0
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Controle,Aromair100,+2 au fond,Rose.n,200,0
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Recharge,Zee300,RDC,C. Sauvage,0,150
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Recharge,Centrale,+2,illusion,0,300
17638,Hotel Concorde ,Lac1,17/06/2026,Houssem,Recharge,Aromair100,+2 au fond,Rose.n,0,100
17629,Hotel Corail,Lac2,11/06/2026,Houssem,Recharge,Zee300,Reception,R.D,0,280
17629,Hotel Corail,Lac2,11/06/2026,Houssem,Controle,Note: Recuperation Diffuseur Tour,null,null,0,0
17639,Maison Mr Ansi Cipalin,Jardins Carthage,17/06/2026,Houssem,Controle,Astree,+2,A. Solaire,0,0
17639,Maison Mr Ansi Cipalin,Jardins Carthage,17/06/2026,Houssem,Recharge,Astree,+2,A. Solaire,0,300
17643,Strass ,Menzah5,23/06/2026,Houssem,Controle,Aromair100,entrée,R.G,150,0
17644,Cabinet Dr Louati ,Menzah6,23/06/2026,Houssem,Controle,Zee300,S. attente,T.H,120,0
17644,Cabinet Dr Louati ,Menzah6,23/06/2026,Houssem,Controle,Aromair150,au fond,F.tec,190,0
17652,Azalée,Soukra,24/06/2026,Houssem,Controle,Iceburg,entrée,B.G,95,0
17652,Azalée,Soukra,24/06/2026,Houssem,Controle,Aromair150,+1,R.G,90,0
17585,Restaurent Gourmet,Charguia,22/06/2026,Houssem,Controle,Zee300,Salon,R.G,260,0
17585,Restaurent Gourmet,Charguia,22/06/2026,Houssem,Recharge,Zee300,Salon,R.G,0,180
17651,Ella Jewerly,Mall Tunis 2,24/06/2026,Houssem,Controle,Aromair150,Au fond,Rose n,105,0
17586,Hotel Manera ,Sidi Bou Said,22/06/2026,Houssem,Controle,Zee300,Resto,P. Jasmin,0,0
17586,Hotel Manera ,Sidi Bou Said,22/06/2026,Houssem,Controle,Aromair150,WCF,T.H,170,0
17586,Hotel Manera ,Sidi Bou Said,22/06/2026,Houssem,Recharge,Zee300,Resto,P. Jasmin,0,300
17586,Hotel Manera ,Sidi Bou Said,22/06/2026,Houssem,Recharge,Aromair150,WCF,T.H,0,130
17595,Retaurant Safran,Lac1,23/06/2026,Houssem,Controle,Zee600,Entrée,mel,0,0
17595,Retaurant Safran,Lac1,23/06/2026,Houssem,Recharge,Zee600,Entrée,mel,0,900
17658,Floralies ,Lac1,25/06/2026,Houssem,Controle,Aromair600,entree,B.T,0,0
17658,Floralies ,Lac1,25/06/2026,Houssem,Recharge,Aromair600,entree,B.T,0,600
17590,JL Invest ,Lac2,22/06/2026,Houssem,Controle,Astree,Entree,R.G,,0
