maintenance_number,client,address,full_name,reference_year,service_date,month,source,model_diffuseur,emplacement,parfum,qte_restante,qte_livree,commentaire
014944,Palma,Soukra,Palma  Soukra,2025,2025-02-01,2,Recharge,Astree,Bureau,,0,300,
014881,Sogeplan,Raoued,Sogeplan  Raoued,2025,2025-01-10,1,Controle,,,,0,0,
014881,Sogeplan,Raoued,Sogeplan  Raoued,2025,2025-01-10,1,Controle,Iceburg,,,0,0,
014945,Ooredoo DSC,Charguia,Ooredoo DSC Charguia,2025,2025-02-01,2,Controle,Zee300,DT,FM,186,0,
014945,Ooredoo DSC,Charguia,Ooredoo DSC Charguia,2025,2025-02-01,2,Controle,Zee300,BDS,FM,107,0,
014945,Ooredoo DSC,Charguia,Ooredoo DSC Charguia,2025,2025-02-01,2,Recharge,Zee300,DT,FM,0,300,
014945,Ooredoo DSC,Charguia,Ooredoo DSC Charguia,2025,2025-02-01,2,Recharge,,CDS,FM,0,300,
014951,Dr Lobna Khaldi,Ariana,Dr Lobna Khaldi Ariana,2025,2025-02-05,2,Controle,Iceburg,salle d'attente,,29,0,
014951,Dr Lobna Khaldi,Ariana,Dr Lobna Khaldi Ariana,2025,2025-02-05,2,Recharge,Iceburg,salle d'attente,,0,600,
014897,Meuble Fekih,Soukra,Meuble Fekih Soukra,2025,2025-01-13,1,Recharge,,,,0,300,
014946,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,2025,2025-02-04,2,Controle,,,,0,0,
014946,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,2025,2025-02-04,2,Controle,,,,0,0,
014892,Labo Farah,Riadh Landalous,Labo Farah Riadh Landalous,2025,2025-01-08,1,Controle,,,,0,0,
014892,Labo Farah,Riadh Landalous,Labo Farah Riadh Landalous,2025,2025-01-08,1,Controle,,,LINA (L),0,0,
014892,Labo Farah,Riadh Landalous,Labo Farah Riadh Landalous,2025,2025-01-08,1,Controle,,,,0,0,
