fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
017563,Padel ,Soukra,15/06/26,Houssem,Recharge,Aromair100,WCH,Peace,0,300
017564,Da Pietro ,Jardin d'El Menzah,15/06/26,Houssem,Controle,Aromair100,comptoir,null,0,0
017564,Da Pietro ,Jardin d'El Menzah,15/06/26,Houssem,Controle,Aromair100,au fond,RV,2,0
017564,Da Pietro ,Jardin d'El Menzah,15/06/26,Houssem,Recharge,Aromair100,comptoir,RV,0,300
017564,Da Pietro ,Jardin d'El Menzah,15/06/26,Houssem,Recharge,Aromair100,au fond,RV,0,300
017565,Hotel Majestic,Tunis,15/06/26,Houssem,Controle,Astree,Reception,Jasmin E,0,0
017565,Hotel Majestic,Tunis,15/06/26,Houssem,Controle,Zee300,+1,myth,0,0
017565,Hotel Majestic,Tunis,15/06/26,Houssem,Recharge,Astree,Reception,JB,0,300
017565,Hotel Majestic,Tunis,15/06/26,Houssem,Recharge,Zee300,+1,myth,0,400
017566,Soquibat ,Lac1,16/06/26,Houssem,Controle,Astree,Cashier,PB,260,0
017566,Soquibat ,Lac1,16/06/26,Houssem,Controle,Note: probleme pompe diffuseur,null,null,0,0
017567,Casa Store ,Soukra,15/06/26,Houssem,Controle,Astree,Entree,MELANGE,40,0
017567,Casa Store ,Soukra,15/06/26,Houssem,Recharge,Astree,entree,MELANGE,0,300
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+3 etagere,TH,80,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+3 fond,TH,50,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+2 entree,TH,260,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+2 fond,TH,150,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+1 entree,TH,60,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Controle,Aromair150,+1 au fond,TH,65,0
017568,Finopti TN ,Charguia,18/06/26,Houssem,Recharge,Aromair150,Toutes zones,Ondee P,0,1800
017569,Ambiance d'Autrefois,Soukra,15/06/26,Houssem,Controle,Note: Récupération Diffuseur Astree,null,null,0,0
017570,Hotel Laico,Tunis,18/06/26,Houssem,Controle,Zee300,+13,RU,145,0
017570,Hotel Laico,Tunis,18/06/26,Houssem,Recharge,Zee300,+13,RU,0,350
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC +5,Jas,20,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC +5,TH,218,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC +2,TH,210,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC +1,TH,220,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC +1,TH,80,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC RDC,Jan,70,0
017571,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC RDC,Jan,60,0
017571,Armatis,Lac1,18/06/26,Houssem,Recharge,Aromair150,Toutes zones,P. Jasmin,0,1005
017572,Armatis,Lac1,18/06/26,Houssem,Controle,Aromair150,WC RDC,Jas,180,0
017572,Armatis,Lac1,18/06/26,Houssem,Controle,Zee300,Entree,TH,0,0
017572,Armatis,Lac1,18/06/26,Houssem,Controle,Zee300,S. Reunion,TH,175,0
017572,Armatis,Lac1,18/06/26,Houssem,Recharge,Aromair150,WC RDC,P. Jasmin,0,300
017572,Armatis,Lac1,18/06/26,Houssem,Recharge,Zee300,Entree,TH,0,300
017572,Armatis,Lac1,18/06/26,Houssem,Recharge,Zee300,S. Reunion,TH,0,120
017573,Turquoise ,CUN,18/06/26,Houssem,Controle,Zee300,Entrée,FD,0,0
017573,Turquoise ,CUN,18/06/26,Houssem,Recharge,Zee300,Entrée,FD,0,300
017574,Innov8 ,Ariana,19/06/26,Houssem,Controle,Zee300,Entrée,WJ,0,0
017574,Innov8 ,Ariana,19/06/26,Houssem,Controle,Zee300,+1,WJ,0,0
017574,Innov8 ,Ariana,19/06/26,Houssem,Controle,Zee300,-1,WJ,0,0
017574,Innov8 ,Ariana,19/06/26,Houssem,Controle,Astree,B. Directeur,WJ,240,0
017574,Innov8 ,Ariana,19/06/26,Houssem,Recharge,Zee300,Entree,O. Jasmin,0,300
017574,Innov8 ,Ariana,19/06/26,Houssem,Recharge,Zee300,+1,O. Jasmin,0,300
017574,Innov8 ,Ariana,19/06/26,Houssem,Recharge,Zee300,-1,O. Jasmin,0,300
017575,Hotel Diar El Andalous ,Sousse,19/06/26,Houssem,Controle,Astree,Reception,FN,180,0
017576,Kantaoui Bey ,Sousse,19/06/26,Houssem,Controle,Zee600,Reception,MELANGE,300,0
017577,Zinnia,Soukra,20/06/26,Houssem,Controle,Iceburg,entree,FO,0,0
017578,Villa Didon ,Carthage,21/06/26,Houssem,Controle,Zee600,Entree,MELANGE,50,0
017578,Villa Didon ,Carthage,21/06/26,Houssem,Recharge,Zee600,Entree,MELANGE,0,850
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,Vestiaire H,Ondee P,0,0
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,RDC B1,Ondee P,0,0
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,Hall B1,Ondee P,0,0
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,+1 B2,FC,0,0
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,WC B2,P. Jasmin,0,0
017579,Asteel Flash,Soukra,20/06/26,Houssem,Controle,Aromair100,RDC B3,Ondee P,0,0
017580,Café Sophia,CUN,20/06/26,Houssem,Controle,Astree,Entrée,F.The,0,0
017580,Café Sophia,CUN,20/06/26,Houssem,Controle,Astree,CPN,F.The,0,0
017580,Café Sophia,CUN,20/06/26,Houssem,Recharge,Astree,Entree,F.The,0,300
017582,Red Castle ,Menzah5,20/06/26,Houssem,Controle,Astree,Entree,RG,0,0
017582,Red Castle ,Menzah5,20/06/26,Houssem,Recharge,Astree,entrée,RG,0,300
017583,Hotel Laico,Tunis,20/06/26,Houssem,Controle,Astree,S. Presidentiel,Neroli,90,0
017585,Restaurent Gourmet,Charguia,22/06/26,Houssem,Controle,Zee300,Salon,RG,260,0
017585,Restaurent Gourmet,Charguia,22/06/26,Houssem,Recharge,Zee300,Salon,RG,0,180
017586,Hotel Manera ,Sidi Bou Said,22/06/26,Houssem,Controle,Zee300,Resto,P. Jasmin,0,0
017586,Hotel Manera ,Sidi Bou Said,22/06/26,Houssem,Controle,Aromair150,WCF,TH,170,0
017586,Hotel Manera ,Sidi Bou Said,22/06/26,Houssem,Recharge,Zee300,Resto,P. Jasmin,0,300
017586,Hotel Manera ,Sidi Bou Said,22/06/26,Houssem,Recharge,Aromair150,WCF,TH,0,130
017589,Hotel Corail,Lac2,22/06/26,Houssem,Controle,Note: livraison Diffuseur Zee300 + Bouteille Vide,null,null,0,0
017590,JL Invest ,Lac2,22/06/26,Houssem,Controle,Astree,Entree,RG,null,0
017590,JL Invest ,Lac2,22/06/26,Houssem,Controle,Astree,S. Reunion,RG,210,0
017590,JL Invest ,Lac2,22/06/26,Houssem,Controle,Iceburg,bureau d,RG,0,0
017590,JL Invest ,Lac2,22/06/26,Houssem,Recharge,Note: probleme pompe diffuseur,null,null,0,0
017592,Volkswagen SAV ,Charguia,22/06/26,Houssem,Controle,Zee300,Reception,RG,20,0
017592,Volkswagen SAV ,Charguia,22/06/26,Houssem,Recharge,Zee300,Reception,RG,0,300
017593,Zinnia,Soukra,22/06/26,Houssem,Recharge,Iceburg,Entrée,Fig,0,300
017595,Retaurant Safran,Lac1,23/06/26,Houssem,Controle,Zee600,Entrée,MELANGE,0,0
017595,Retaurant Safran,Lac1,23/06/26,Houssem,Recharge,Zee600,Entrée,MELANGE,0,900
017596,La centrale Tunisie,Lac1,23/06/26,Houssem,Controle,Astree,Entrée G,MELANGE,0,0
017596,La centrale Tunisie,Lac1,23/06/26,Houssem,Controle,Astree,Entrée D,MELANGE,30,0
017596,La centrale Tunisie,Lac1,23/06/26,Houssem,Recharge,Astree,Entrée G,MELANGE,0,100
017596,La centrale Tunisie,Lac1,23/06/26,Houssem,Recharge,Astree,Entrée D,MELANGE,0,100
017599,Oishi,Soukra,23/06/26,Houssem,Controle,Astree,Entree,illusion,0,0
017599,Oishi,Soukra,23/06/26,Houssem,Recharge,Astree,Entrée,illusion,0,150
017600,716,CUN,23/06/26,Houssem,Recharge,Astree,au fond,Perle,0,300
017600,716,CUN,23/06/26,Houssem,Recharge,Aromair150,WC,Rose n,0,300
017601,Saveurs de Carthage ,Jardins Carthage,08/06/26,Houssem,Controle,Zephyr,Entree,MELANGE,0,0
017602,Spectra ,Lac3,08/06/26,Houssem,Recharge,Astree,Entree,F.The,0,220
017602,Spectra ,Lac3,08/06/26,Houssem,Recharge,Zee300,A,RG,0,300
